item_id,name,provider,mission,focus
26,Climate Action Support,Climate Innovation Council,Funds programs to reduce diesel reliance in remote and Indigenous communities.,Program Delivery | Multi-stage Project Support | Clean Energy Efficiency
27,Smart Agriculture Program,Agriculture and Agri-Food Canada,Backs multi-stage projects for long-term environmental impact.,Implementation Readiness
28,Circular Economy Support,Canadian Clean Energy Council,Encourages projects that aim for water conservation and contamination reduction.,Remote and Indigenous Community Support | Indigenous Led Projects
29,Climate Action Support,Green Economy Canada,Incentivizes clean energy projects that reduce carbon emissions.,Water Consumption Reduction | Regulatory Research and Development
30,Water Conservation Grant,Energy Efficiency Canada,Encourages projects that aim for water conservation and contamination reduction.,Clean Energy Efficiency | Regulatory Research and Development | Diesel Reliance Reduction
31,Clean Energy Pathway,Canadian Agricultural Partnership,Invests in clean energy and energy efficiency improvements across sectors.,Renewable Heat and Power | GHG Reductions
32,EcoInfrastructure Fund,Sustainable Development Canada,Backs multi-stage projects for long-term environmental impact.,Renewable Heat and Power
33,Clean Industrial Fund,Sustainable Agriculture Canada,Supports the development of sustainable practices in targeted industries.,Indigenous Led Projects
34,Low Impact Energy Fund,Agriculture and Agri-Food Canada,Aims to reduce greenhouse gases through cutting-edge technology applications.,Program Delivery | Remote and Indigenous Community Support
35,Urban Sustainability Grant,Climate Innovation Council,Promotes technological innovation in renewable energy and green tech.,GHG Reductions | Regulatory Research and Development
36,Clean Innovation Accelerator,Environment Canada,Aims to reduce greenhouse gases through cutting-edge technology applications.,Agriculture Sector Innovation and Development | Indigenous Led Projects | Water Consumption Reduction
37,Renewable Advancement Fund,Circular Economy Association,Promotes technological innovation in renewable energy and green tech.,Diesel Reliance Reduction | Water Consumption Reduction
38,Clean Innovation Accelerator,Agriculture and Agri-Food Canada,Incentivizes clean energy projects that reduce carbon emissions.,Clean fuel projects | Facility Conversations
39,Renewable Resource Development,Circular Economy Association,Backs multi-stage projects for long-term environmental impact.,GHG Reductions | GHG Reduction
40,Climate Partnership Canada,Environment Canada,Promotes technological innovation in renewable energy and green tech.,Clean fuel projects
41,Circular Economy Support,Canadian Agricultural Partnership,Provides support for indigenous-led projects focused on sustainability.,"Water, Soil or Air Contamination Reduction"
42,Water Conservation Grant,Green Communities Canada,Encourages projects that aim for water conservation and contamination reduction.,Facility Conversations | Implementation Readiness | Indigenous Led Projects
43,AgriInnovation Support,Sustainable Futures Agency,Supports the development of sustainable practices in targeted industries.,"Regulatory Research and Development | Water, Soil or Air Contamination Reduction | Energy Efficiency Improvement"
44,Climate Action Support,Climate Innovation Council,Supports the development of sustainable practices in targeted industries.,Multi-stage Project Support | Diesel Reliance Reduction
45,Renewable Advancement Fund,"Innovation, Science and Economic Development Canada",Encourages projects that aim for water conservation and contamination reduction.,Clean Energy Efficiency | Implementation Readiness
46,Climate Leadership Support,Circular Economy Association,Encourages circular economy models through program support.,Facility Conversations | Clean fuel projects
47,Clean Energy Pathway,Natural Resources Canada,Encourages circular economy models through program support.,Water Consumption Reduction | Regulatory Research and Development
48,Clean Innovation Accelerator,Climate Action Canada,Incentivizes clean energy projects that reduce carbon emissions.,Clean fuel projects
49,Sustainable Practices Canada,Sustainable Futures Agency,Backs multi-stage projects for long-term environmental impact.,Agriculture Sector Innovation and Development | Facility Conversations
50,Water Conservation Grant,Canadian Clean Energy Council,Enhances sector competitiveness through sustainable technology adoption.,Implementation Readiness | Renewable Heat and Power | Indigenous Led Projects
